customer_key,customer_id,first_name,last_name,email,address,address2,district,city,country,postal_code,phone,active,create_date,start_date,end_date
524,524,Jared,Ely,jared.ely@sakilacustomer.org,1003 Qinhuangdao Street,"",West Java,Purwakarta,Indonesia,25972,35533115997,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
1,1,Mary,Smith,mary.smith@sakilacustomer.org,1913 Hanoi Way,"",Nagasaki,Sasebo,Japan,35200,28303384290,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
2,2,Patricia,Johnson,patricia.johnson@sakilacustomer.org,1121 Loja Avenue,"",California,San Bernardino,United States,17886,838635286649,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
3,3,Linda,Williams,linda.williams@sakilacustomer.org,692 Joliet Street,"",Attika,Athenai,Greece,83579,448477190408,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
4,4,Barbara,Jones,barbara.jones@sakilacustomer.org,1566 Inegl Manor,"",Mandalay,Myingyan,Myanmar,53561,705814003527,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
5,5,Elizabeth,Brown,elizabeth.brown@sakilacustomer.org,53 Idfu Parkway,"",Nantou,Nantou,Taiwan,42399,10655648674,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
6,6,Jennifer,Davis,jennifer.davis@sakilacustomer.org,1795 Santiago de Compostela Way,"",Texas,Laredo,United States,18743,860452626434,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
7,7,Maria,Miller,maria.miller@sakilacustomer.org,900 Santiago de Compostela Parkway,"",Central Serbia,Kragujevac,Yugoslavia,93896,716571220373,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
8,8,Susan,Wilson,susan.wilson@sakilacustomer.org,478 Joliet Way,"",Hamilton,Hamilton,New Zealand,77948,657282285970,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
9,9,Margaret,Moore,margaret.moore@sakilacustomer.org,613 Korolev Drive,"",Masqat,Masqat,Oman,45844,380657522649,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
10,10,Dorothy,Taylor,dorothy.taylor@sakilacustomer.org,1531 Sal Drive,"",Esfahan,Esfahan,Iran,53628,648856936185,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
11,11,Lisa,Anderson,lisa.anderson@sakilacustomer.org,1542 Tarlac Parkway,"",Kanagawa,Sagamihara,Japan,1027,635297277345,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
12,12,Nancy,Thomas,nancy.thomas@sakilacustomer.org,808 Bhopal Manor,"",Haryana,Yamuna Nagar,India,10672,465887807014,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
13,13,Karen,Jackson,karen.jackson@sakilacustomer.org,270 Amroha Parkway,"",Osmaniye,Osmaniye,Turkey,29610,695479687538,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
14,14,Betty,White,betty.white@sakilacustomer.org,770 Bydgoszcz Avenue,"",California,Citrus Heights,United States,16266,517338314235,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
15,15,Helen,Harris,helen.harris@sakilacustomer.org,419 Iligan Lane,"",Madhya Pradesh,Bhopal,India,72878,990911107354,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
16,16,Sandra,Martin,sandra.martin@sakilacustomer.org,360 Toulouse Parkway,"",England,Southend-on-Sea,United Kingdom,54308,949312333307,0,2006-02-14 00:00:00,2023-08-16,2023-08-16
17,17,Donna,Thompson,donna.thompson@sakilacustomer.org,270 Toulon Boulevard,"",Kalmykia,Elista,Russian Federation,81766,407752414682,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
18,18,Carol,Garcia,carol.garcia@sakilacustomer.org,320 Brest Avenue,"",Kaduna,Kaduna,Nigeria,43331,747791594069,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
19,19,Ruth,Martinez,ruth.martinez@sakilacustomer.org,1417 Lancaster Avenue,"",Northern Cape,Kimberley,South Africa,72192,272572357893,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
20,20,Sharon,Robinson,sharon.robinson@sakilacustomer.org,1688 Okara Way,"",Nothwest Border Prov,Mardan,Pakistan,21954,144453869132,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
21,21,Michelle,Clark,michelle.clark@sakilacustomer.org,262 A Corua (La Corua) Parkway,"",Dhaka,Tangail,Bangladesh,34418,892775750063,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
22,22,Laura,Rodriguez,laura.rodriguez@sakilacustomer.org,28 Charlotte Amalie Street,"",Rabat-Sal-Zammour-Z,Sal,Morocco,37551,161968374323,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
23,23,Sarah,Lewis,sarah.lewis@sakilacustomer.org,1780 Hino Boulevard,"",Liepaja,Liepaja,Latvia,7716,902731229323,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
24,24,Kimberly,Lee,kimberly.lee@sakilacustomer.org,96 Tafuna Way,"",Crdoba,Crdoba,Argentina,99865,934730187245,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
25,25,Deborah,Walker,deborah.walker@sakilacustomer.org,934 San Felipe de Puerto Plata Street,"",Sind,Shikarpur,Pakistan,99780,196495945706,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
26,26,Jessica,Hall,jessica.hall@sakilacustomer.org,18 Duisburg Boulevard,"","",Citt del Vaticano,Holy See (Vatican City State),58327,998009777982,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
27,27,Shirley,Allen,shirley.allen@sakilacustomer.org,217 Botshabelo Place,"",Southern Mindanao,Davao,Philippines,49521,665356572025,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
28,28,Cynthia,Young,cynthia.young@sakilacustomer.org,1425 Shikarpur Manor,"",Bihar,Munger (Monghyr),India,65599,678220867005,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
29,29,Angela,Hernandez,angela.hernandez@sakilacustomer.org,786 Aurora Avenue,"",Yamaguchi,Shimonoseki,Japan,65750,18461860151,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
30,30,Melissa,King,melissa.king@sakilacustomer.org,1668 Anpolis Street,"",Taipei,Lungtan,Taiwan,50199,525255540978,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
31,31,Brenda,Wright,brenda.wright@sakilacustomer.org,33 Gorontalo Way,"",West Bengali,Kamarhati,India,30348,745994947458,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
32,32,Amy,Lopez,amy.lopez@sakilacustomer.org,176 Mandaluyong Place,"",Uttar Pradesh,Jhansi,India,65213,627705991774,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
33,33,Anna,Hill,anna.hill@sakilacustomer.org,127 Purnea (Purnia) Manor,"",Piemonte,Alessandria,Italy,79388,911872220378,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
34,34,Rebecca,Scott,rebecca.scott@sakilacustomer.org,61 Tama Street,"",Okayama,Kurashiki,Japan,94065,708403338270,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
35,35,Virginia,Green,virginia.green@sakilacustomer.org,391 Callao Drive,"",Midi-Pyrnes,Toulouse,France,34021,440512153169,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
36,36,Kathleen,Adams,kathleen.adams@sakilacustomer.org,334 Munger (Monghyr) Lane,"",Markazi,Arak,Iran,38145,481183273622,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
37,37,Pamela,Baker,pamela.baker@sakilacustomer.org,1440 Fukuyama Loop,"",Henan,Nanyang,China,47929,912257250465,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
